teks,label,teks_tokenied,teksbersih
b ada catat motor balap sesi kali naremaketurki ,Positif,['b ada catat motor balap sesi kali naremaketurki '],['b ada catat motor balap sesi kali naremaketurki ']
b ada rute bus gratis tonton motogp mandalika baca lengkap,Positif,['b ada rute bus gratis tonton motogp mandalika baca lengkap'],['b ada rute bus gratis tonton motogp mandalika baca lengkap']
b ahli sirkuit mandalika motogp baik titik utama,Positif,['b ahli sirkuit mandalika motogp baik titik utama'],['b ahli sirkuit mandalika motogp baik titik utama']
b airlangga hartarto kira official crew balap motogp maret mandalika ,Positif,['b airlangga hartarto kira official crew balap motogp maret mandalika '],['b airlangga hartarto kira official crew balap motogp maret mandalika ']
b aspal sirkuit mandalika benah tes pramusim motogp beres maret,Positif,['b aspal sirkuit mandalika benah tes pramusim motogp beres maret'],['b aspal sirkuit mandalika benah tes pramusim motogp beres maret']
b aspal ulang sirkuit mandalika,Positif,['b aspal ulang sirkuit mandalika'],['b aspal ulang sirkuit mandalika']
b ayo registrasi link akses acara,Positif,['b ayo registrasi link akses acara'],['b ayo registrasi link akses acara']
b balap cepat catat tes pramusim motogp sirkuit mandalika gabung ,Positif,['b balap cepat catat tes pramusim motogp sirkuit mandalika gabung '],['b balap cepat catat tes pramusim motogp sirkuit mandalika gabung ']
b balap repsol honda nasal spanyol npol espargaro incar podium npada balap debut musim n motogpmandalika,Positif,['b balap repsol honda nasal spanyol npol espargaro incar podium npada balap debut musim n motogpmandalika'],['b balap repsol honda nasal spanyol npol espargaro incar podium npada balap debut musim n motogpmandalika']
b balik indah sirkuit mandalika emak-emak selfie jual es teh n ninanews inanewstv mandalika,Positif,['b balik indah sirkuit mandalika emak-emak selfie jual es teh n ninanews inanewstv mandalika'],['b balik indah sirkuit mandalika emak-emak selfie jual es teh n ninanews inanewstv mandalika']
b bandara igustingurahrai bandara hubung lombok gelar motogpmandalika n nbaca lengkap,Positif,['b bandara igustingurahrai bandara hubung lombok gelar motogpmandalika n nbaca lengkap'],['b bandara igustingurahrai bandara hubung lombok gelar motogpmandalika n nbaca lengkap']
b banyak aspal kelupas baik sirkuit mandalika kebut n nmotogp motogp mandalika mandalika test mandalika rakyat,negatif,['b banyak aspal kelupas baik sirkuit mandalika kebut n nmotogp motogp mandalika mandalika test mandalika rakyat'],['b banyak aspal kelupas baik sirkuit mandalika kebut n nmotogp motogp mandalika mandalika test mandalika rakyat']
b baru jadwal motogp balap satelit ducati puji sirkuit mandalika enea seru tantang,Positif,['b baru jadwal motogp balap satelit ducati puji sirkuit mandalika enea seru tantang'],['b baru jadwal motogp balap satelit ducati puji sirkuit mandalika enea seru tantang']
b benah rampung puncak balap motogp mandalika maret n nmerah putih com,Positif,['b benah rampung puncak balap motogp mandalika maret n nmerah putih com'],['b benah rampung puncak balap motogp mandalika maret n nmerah putih com']
b berita yg konsen bangga sirkuit mandalika yg gelar,Positif,['b berita yg konsen bangga sirkuit mandalika yg gelar'],['b berita yg konsen bangga sirkuit mandalika yg gelar']
b beritaterkini polda ntb tempat personel khusus cegat drone liar race motogp mandalika n polda ntb ,Positif,['b beritaterkini polda ntb tempat personel khusus cegat drone liar race motogp mandalika n polda ntb '],['b beritaterkini polda ntb tempat personel khusus cegat drone liar race motogp mandalika n polda ntb ']
